timestamp,x,y,z
573544,1.61,-3.465,0.14
573563,0.875,-2.415,0.35
573582,2.03,-2.135,0.035
573601,2.765,-2.73,-0.105000004
573620,2.38,-3.255,-0.245
573639,1.715,-3.71,-0.28
573658,0.63,-3.675,-0.07
573678,0.875,-3.64,-0.14
573697,1.365,-3.57,-0.035
573716,1.4350001,-3.7450001,0.035
573735,1.89,-3.92,-0.105000004
573754,2.03,-3.57,-0.245
573773,1.855,-3.045,-0.28
573792,1.645,-3.15,-0.315
573811,1.855,-3.605,-0.175
573831,2.345,-3.71,-0.035
573850,2.17,-3.71,0.035
573869,2.38,-3.255,0.07
573888,2.065,-3.535,0.175
573908,1.645,-3.85,0.07
573927,1.225,-3.92,0.175
573946,1.05,-4.97,-0.28
573965,1.4,-3.01,0.175
573985,-3.395,-1.6800001,0.035
574004,2.625,-4.8650002,-0.385
574023,1.715,-5.705,0.21000001
574042,-1.05,-3.535,0.595
574061,2.695,-4.025,0.35
574080,0.875,-5.565,0.385
574099,-2.94,-5.285,0.28
574118,-2.03,-4.165,0.455
574138,-0.315,-3.71,0.385
574157,0.805,-3.955,0.56
574176,1.365,-3.64,0.56
574195,0.735,-2.835,0.245
574214,0.385,-2.38,-0.035
574233,1.4,-2.555,0.0
574252,3.08,-3.185,-0.035
574271,2.94,-2.625,0.035
574291,1.82,-1.855,-0.525
574310,2.59,-2.135,-0.35
574329,2.17,-3.15,-0.175
574348,1.575,-3.955,-0.28
574368,1.33,-4.165,-0.35
574387,1.155,-3.7450001,-0.455
574406,1.155,-3.5,-0.21000001
574425,1.75,-3.43,-0.07
574445,2.59,-3.255,-0.175
574464,2.59,-3.29,-0.07
574483,1.19,-3.325,-0.14
574502,0.84000003,-3.22,-0.21000001
574521,1.715,-2.73,-0.105000004
574540,1.995,-2.765,-0.035
574559,1.715,-2.8700001,0.07
574578,0.875,-3.08,0.035
574598,0.455,-3.3600001,0.07
574617,1.05,-2.94,0.0
574636,1.4350001,-2.765,-0.035
574655,-0.175,-3.3600001,-0.175
574674,-1.54,-3.5,-0.175
574693,-0.98,-3.3600001,0.105000004
574712,-0.315,-4.13,-0.245
574731,-0.595,-2.135,0.175
574751,-6.825,-1.4,-0.14
574770,0.63,-4.025,-0.49
574789,0.84000003,-4.725,0.175
574808,-3.045,-3.01,0.28
574828,-1.295,-3.115,-0.14
574847,-3.605,-3.885,-0.035
574866,-5.285,-3.885,0.315
574885,-3.3600001,-3.815,0.56
574905,-1.96,-3.85,0.49
574924,-1.82,-3.325,0.35
574943,-1.61,-2.8,0.315
574962,-1.82,-2.59,0.21000001
574981,-2.065,-3.01,0.035
